GEOID,City,Unit,Area,PopDensity,HomeOwn,SingleFamily,Edu,HomeValue,Income,White,Wealth,Gini,geometry
5000144350,Middlebury,2860,101402231.18116443,8.541232179128608e-5,0.6027972027972028,0.6690741956664478,0.4659041864479931,249800,58953,0.85879228726475,0.8367972742759796,0.4295,"list(c(-73.190614, -73.182019, -73.181017, -73.177116, -73.176995, -73.179781, -73.178987, -73.1794, -73.181669, -73.181461, -73.180828, -73.1639, -73.146477, -73.140289, -73.124632, -73.116214, -73.115401, -73.099943, -73.096003, -73.094996, -73.092463, -73.066549, -73.064657, -73.06056, -73.059402, -73.05943, -73.058693, -73.059174, -73.058211, -73.076462, -73.090398, -73.11688, -73.124234, -73.135866, -73.146653, -73.162029, -73.163175, -73.171086, -73.173691, -73.184989, -73.18594, -73.189912, 
-73.189274, -73.190175, -73.189808, -73.18957, -73.18914, -73.190614, 44.018995, 44.019513, 44.019859, 44.019971, 44.023014, 44.030294, 44.031349, 44.033077, 44.036657, 44.042593, 44.046029, 44.047827, 44.049436, 44.050201, 44.051762, 44.052276, 44.052434, 44.053865, 44.054441, 44.054406, 44.054782, 44.056979, 44.040797, 43.99124, 43.981931, 43.978278, 43.972527, 43.970614, 43.962829, 43.961932, 43.959637, 43.957822, 43.956899, 43.954439, 43.953836, 43.952426, 43.952229, 43.951846, 43.967568, 43.982749, 
43.98859, 43.988154, 43.989765, 43.993314, 43.995984, 44.00401, 44.009285, 44.018995))"
5000145550,Monkton,777,93581382.79465464,2.0367298954989053e-5,0.7992277992277992,0.774859287054409,0.40055632823365783,265100,92642,0.9690451206715635,0.9226285108638049,0.348,"list(c(-73.1968, -73.16182, -73.151207, -73.145082, -73.133083, -73.080607, -73.080108, -73.078182, -73.07731, -73.075421, -73.082469, -73.084389, -73.071019, -73.083734, -73.098997, -73.10407, -73.149505, -73.151279, -73.175773, -73.177072, -73.193419, -73.194244, -73.1968, 44.266634, 44.271532, 44.272576, 44.273403, 44.275055, 44.282278, 44.276106, 44.265386, 44.258424, 44.251343, 44.250324, 44.250314, 44.184405, 44.183665, 44.181369, 44.181055, 44.176694, 44.17638, 44.174271, 44.173907, 44.250928, 
44.25376, 44.266634))"
5000148700,New Haven,712,106980978.92781503,1.662912433433959e-5,0.8230337078651685,0.722,0.3248652809853734,266000,76923,0.968521641371557,0.9280089988751407,0.4015,"list(c(-73.248632, -73.242975, -73.242055, -73.240963, -73.241352, -73.21863, -73.216373, -73.20416, -73.213578, -73.186164, -73.175685, -73.172995, -73.177072, -73.175773, -73.151279, -73.149505, -73.146569, -73.14521, -73.13926, -73.132185, -73.126168, -73.122816, -73.11838, -73.112095, -73.11159, -73.110165, -73.096003, -73.099943, -73.115401, -73.116214, -73.124632, -73.140289, -73.146477, -73.1639, -73.180828, -73.180185, -73.177924, -73.17636, -73.175872, -73.178421, -73.17969, -73.179818, 
-73.182233, -73.182139, -73.182932, -73.18433, -73.187197, -73.191238, -73.193324, -73.197312, -73.198844, -73.199666, -73.20181, -73.204099, -73.208001, -73.213383, -73.216755, -73.238619, -73.240126, -73.245081, -73.246471, -73.2498, -73.248632, 44.114343, 44.114492, 44.115816, 44.109367, 44.107044, 44.108715, 44.109168, 44.110001, 44.159923, 44.15553, 44.154324, 44.153837, 44.173907, 44.174271, 44.17638, 44.176694, 44.152481, 44.14992, 44.147815, 44.147263, 44.146372, 44.146163, 44.144806, 44.144216, 
44.142336, 44.129338, 44.054441, 44.053865, 44.052434, 44.052276, 44.051762, 44.050201, 44.049436, 44.047827, 44.046029, 44.048749, 44.050934, 44.053104, 44.056542, 44.059282, 44.060023, 44.06214, 44.064154, 44.065911, 44.066286, 44.06515, 44.067022, 44.067907, 44.070985, 44.070765, 44.0684, 44.06803, 44.069256, 44.069938, 44.069879, 44.069244, 44.069746, 44.07754, 44.079032, 44.08185, 44.086056, 44.088283, 44.114343))"
5000153725,Orwell,511,128185035.6392981,9.431678151590364e-6,0.9275929549902152,0.7950819672131147,0.3383720930232558,214300,60375,0.9627791563275434,0.8105872622001654,0.3479,"list(c(-73.392751, -73.390194, -73.388389, -73.381865, -73.376598, -73.373688, -73.3735534635918, -73.36749, -73.349023, -73.252775, -73.2386, -73.222688, -73.220235, -73.218774, -73.21892, -73.206322, -73.231377, -73.3629511574321, -73.354597, -73.350707, -73.350593, -73.354758, -73.355545, -73.357547, -73.362498, -73.368184, -73.376361, -73.377232, -73.37827, -73.379279, -73.3793298267232, -73.380804, -73.383259, -73.390302, -73.392492, -73.392751, 43.822196, 43.829364, 43.832404, 43.837315, 43.839357, 
43.84261, 43.8428646015164, 43.843023, 43.845631, 43.854468, 43.856511, 43.858072, 43.843496, 43.838843, 43.837292, 43.766775, 43.764469, 43.7531814596909, 43.764167, 43.770463, 43.771939, 43.776721, 43.778468, 43.785933, 43.790211, 43.793346, 43.798766, 43.800565, 43.805995, 43.808391, 43.808476322237, 43.810951, 43.81331, 43.817371, 43.820779, 43.822196))"
5000153950,Panton,265,56793552.00301482,1.160342990987811e-5,0.7886792452830189,0.7743589743589744,0.37100213219616207,269400,71042,0.9817905918057663,0.893455098934551,0.4232,"list(c(-73.415761, -73.41172, -73.408118, -73.403268, -73.402381, -73.4004773874807, -73.362402, -73.361178, -73.33586, -73.319118, -73.270604, -73.268081, -73.261411, -73.249774, -73.24992, -73.251771, -73.254056, -73.261402, -73.262896, -73.261641, -73.262136, -73.264271, -73.264377, -73.262623, -73.262541, -73.263573, -73.263298, -73.261582, -73.259421, -73.261237, -73.261111, -73.26499, -73.282855, -73.293598, -73.332551, -73.33554, -73.336755, -73.336987, -73.380443, -73.381363, -73.387915, 
-73.4131113305903, -73.4117592677759, -73.411316, -73.411722, -73.413751, -73.41578, -73.415761, 44.132826, 44.137825, 44.139373, 44.144295, 44.145856, 44.1524185083939, 44.156464, 44.156776, 44.159405, 44.160449, 44.165308, 44.152823, 44.15339, 44.154377, 44.152951, 44.150147, 44.148013, 44.145683, 44.144497, 44.14171, 44.140293, 44.138935, 44.137967, 44.136122, 44.134379, 44.132789, 44.131555, 44.129467, 44.12582, 44.124217, 44.123195, 44.122838, 44.120665, 44.119934, 44.115722, 44.115816, 44.11565, 
44.115501, 44.111261, 44.111485, 44.110426, 44.1079262028884, 44.1115108043614, 44.112686, 44.11754, 44.126068, 44.131523, 44.132826))"
5000159650,Ripton,273,128723411.3417927,4.0707435775505475e-6,0.8131868131868132,0.6879432624113475,0.5211970074812967,239200,70893,0.9618320610687023,0.7843511450381679,0.4157,"list(c(-73.064657, -73.025887, -73.026838, -72.958581, -72.958679, -72.948285, -72.908083, -72.90603, -72.907717, -72.907654, -72.912193, -72.946096, -72.955796, -72.960711, -72.965724, -72.965963, -72.979716, -72.990095, -72.993141, -73.038836, -73.049555, -73.049217, -73.047784, -73.046379, -73.046265, -73.045797, -73.045779, -73.050458, -73.058211, -73.059174, -73.058693, -73.05943, -73.059402, -73.06056, -73.064657, 44.040797, 44.044623, 44.038072, 44.034054, 44.036663, 44.036776, 44.035474, 
44.026014, 43.999901, 43.9715, 43.965554, 43.975114, 43.959555, 43.950831, 43.943382, 43.942181, 43.922414, 43.922433, 43.922209, 43.923147, 43.922216, 43.93299, 43.940348, 43.949675, 43.956533, 43.960833, 43.964339, 43.963656, 43.962829, 43.970614, 43.972527, 43.978278, 43.981931, 43.99124, 44.040797))"
5000162575,Salisbury,434,77595351.14341341,1.4872024973083146e-5,0.8133640552995391,0.837037037037037,0.3475609756097561,248500,74412,0.9670710571923743,0.8788958147818343,0.3939,"list(c(-73.187672, -73.186519, -73.183779, -73.18274, -73.183051, -73.1805, -73.17929, -73.177388, -73.175161, -73.174548, -73.175123, -73.173567, -73.17393, -73.172957, -73.173023, -73.175103, -73.17516, -73.174369, -73.172214, -73.170208, -73.168492, -73.167395, -73.166842, -73.166952, -73.166406, -73.163175, -73.162029, -73.146653, -73.135866, -73.124234, -73.11688, -73.090398, -73.076462, -73.058211, -73.050458, -73.045779, -73.045797, -73.046265, -73.046379, -73.047784, -73.049217, -73.049555, 
-73.038836, -73.038738, -73.039359, -73.039812, -73.039651, -73.042524, -73.063, -73.076168, -73.082664, -73.100529, -73.107184, -73.16073, -73.174658, -73.173835, -73.175093, -73.176793, -73.180283, -73.186474, -73.187596, -73.18875, -73.187672, 43.896411, 43.897284, 43.898078, 43.89952, 43.900579, 43.904275, 43.908372, 43.91133, 43.912174, 43.913226, 43.914911, 43.920403, 43.923201, 43.925041, 43.926522, 43.928632, 43.93033, 43.931644, 43.933436, 43.934026, 43.9354, 43.937836, 43.940333, 43.945219, 
43.947617, 43.952229, 43.952426, 43.953836, 43.954439, 43.956899, 43.957822, 43.959637, 43.961932, 43.962829, 43.963656, 43.964339, 43.960833, 43.956533, 43.949675, 43.940348, 43.93299, 43.922216, 43.923147, 43.921246, 43.913875, 43.902432, 43.90009, 43.900058, 43.897959, 43.897034, 43.895654, 43.894217, 43.893222, 43.882154, 43.879316, 43.881993, 43.884705, 43.886569, 43.889055, 43.890342, 43.891296, 43.894376, 43.896411))"
5000165050,Shoreham,507,119927988.87175597,9.330599224811429e-6,0.7534516765285996,0.7119205298013245,0.31548311990686845,236000,58894,0.9097408400357462,0.8534405719392315,0.4641,"list(c(-73.407742, -73.402028, -73.391417, -73.341033, -73.321147, -73.311519, -73.302687, -73.296582, -73.26192, -73.258112, -73.255579, -73.249489, -73.245315, -73.241818, -73.226327, -73.225384, -73.222688, -73.2386, -73.252775, -73.349023, -73.36749, -73.3735534635918, -73.372247, -73.372462, -73.373742, -73.380987, -73.3818552426673, -73.382046, -73.381501, -73.379334, -73.37415, -73.374051, -73.376312, -73.383491, -73.395878, -73.397256, -73.400926, -73.404537867979, -73.407742, 43.929887, 
43.930319, 43.931819, 43.937299, 43.94065, 43.941718, 43.941628, 43.94219, 43.9461, 43.947228, 43.943164, 43.92399, 43.914247, 43.90481, 43.868748, 43.863615, 43.858072, 43.856511, 43.854468, 43.845631, 43.843023, 43.8428646015164, 43.845337, 43.846266, 43.847693, 43.852633, 43.8545801920065, 43.855008, 43.859235, 43.864648, 43.874163, 43.875563, 43.880292, 43.890951, 43.903044, 43.905668, 43.917048, 43.9238515171629, 43.929887))"
5000170075,Starksboro,751,118686392.16890231,1.662364121063035e-5,0.8934753661784287,0.6501901140684411,0.4403202328966521,233000,72578,0.963000506842372,0.8330781010719756,0.3535,"list(c(-73.082469, -73.075421, -73.07731, -73.078182, -73.080108, -73.080607, -73.06902, -73.068463, -73.016523, -73.020378, -73.010355, -72.999936, -72.984222, -72.973318, -72.968146, -72.96783, -72.96525, -72.952167, -73.016439, -73.017144, -73.020288, -73.023099, -73.034416, -73.046807, -73.049049, -73.048939, -73.057327, -73.071019, -73.084389, -73.082469, 44.250324, 44.251343, 44.258424, 44.265386, 44.276106, 44.282278, 44.284064, 44.280085, 44.285332, 44.303744, 44.301835, 44.300263, 44.296473, 
44.29342, 44.249817, 44.2456, 44.230326, 44.161271, 44.15374, 44.157141, 44.174448, 44.192184, 44.190913, 44.19007, 44.190055, 44.18636, 44.185707, 44.184405, 44.250314, 44.250324))"
5000174650,Vergennes,1127,6601445.514223189,3.93247205389603e-4,0.6193433895297249,0.6518105849582173,0.2572890025575448,216000,63920,0.9780431432973806,0.8089668615984406,0.3895,"list(c(-73.272754, -73.248455, -73.243373, -73.240094, -73.238636, -73.238892, -73.249774, -73.261411, -73.268081, -73.270604, -73.272754, 44.17683, 44.17993, 44.180577, 44.164438, 44.156715, 44.1553, 44.154377, 44.15339, 44.152823, 44.165308, 44.17683))"
