"","GEOID","Unit","Area","PopDensity","HomeOwn","SingleFamily","Edu","HomeValue","Income","White","Poverty","Gini"
"125","53033011402",1967,1182703.147648,0.3581626,0.4433147,0.3269036,0.3196881,0.4051,0.54151,0.4612842,0.7644004,0.4077
"126","53033011500",2005,1523663.9205826,0.2979003,0.7665835,0.8147229,0.5520833,0.4907,1.11528,0.8162591,0.9346333,0.354
"127","53033011600",3061,3110236.3447593,0.2271532,0.749755,0.7776596,0.6788024,0.7314,1.18599,0.9152159,0.9191471,0.459
"128","53033011700",1729,3502375.9313895,0.156094,0.719491,0.5332198,0.2619277,0.4023,0.82869,0.1712091,0.7833578,0.3842
"129","53033011800",2935,2305341.4456172,0.3777315,0.5339012,0.4834835,0.3493996,0.3894,0.62782,0.2161231,0.745062,0.4509
"130","53033011900",2547,3214337.7116876,0.2339207,0.8190027,0.6097712,0.3219389,0.4129,1.01028,0.3304961,0.7745711,0.4155
"131","53033012000",1554,1433501.6976742,0.258179,0.7966538,0.8353326,0.5635639,0.4628,1.10192,0.8432856,0.9527155,0.3717
"132","53033012100",1180,1723380.7216181,0.1608466,0.8745763,0.8539604,0.6293544,0.6968,1.27955,0.8463203,0.9831131,0.4278
"133","53033026001",2185,2672133.8458606,0.2114415,0.8498856,0.805668,0.3732946,0.4647,1.02586,0.3787611,0.9297345,0.3761
"134","53033026400",2406,4779045.2763856,0.1246902,0.4177057,0.3533779,0.1870307,0.3145,0.57965,0.4457124,0.7864715,0.4049
"135","53033026500",1529,1985324.2939789,0.2174456,0.4028777,0.2778316,0.155532,0.3699,0.39341,0.3574241,0.5357392,0.5253
