OID_,src_FID,nbr_FID,LENGTH,NODE_COUNT
1,0,1,0.137432433256675,0
2,0,3,0.129072879073724,0
3,0,4,0.220916544306821,0
4,0,31,0.010392115801322,0
5,0,33,0.129566735346948,0
6,0,104,0.097052194840913,0
7,1,0,0.137432433256675,0
8,1,28,0.046639268571088,0
9,1,30,0.047995806802016,0
10,1,33,0.095000601811113,0
11,1,34,0.107458487603003,0
12,1,98,0.000000000000000,1
13,1,104,0.175463908149898,0
14,1,111,0.097725576352339,0
15,1,112,0.090662927341705,0
16,2,3,0.065571871560300,0
17,2,4,0.104161298568740,0
18,2,31,0.023784421740366,0
19,3,0,0.129072879073724,0
20,3,2,0.065571871560300,0
21,3,4,0.063887428605774,0
22,3,31,0.103159176220855,0
23,3,86,0.166654210168820,0
24,3,87,0.132120018723773,0
25,4,0,0.220916544306821,0
26,4,2,0.104161298568740,0
27,4,3,0.063887428605774,0
28,4,31,0.070649570692443,0
29,5,10,0.214667658985211,0
30,5,11,0.163927503603074,0
31,5,35,0.133424864651661,0
32,5,36,0.156450870718313,0
33,6,8,0.130645929272841,0
34,6,9,0.043500527929987,0
35,6,10,0.141475522386664,0
36,6,11,0.040208412505156,0
37,6,26,0.054446936614194,0
38,7,11,0.130972693006794,0
39,7,26,0.248371706767369,0
40,7,27,0.100204637792677,0
41,7,59,0.009951820726126,0
42,7,63,0.272241419727079,0
43,7,65,0.121662171639000,0
44,7,79,0.070184877625517,0
45,7,94,0.186725210571864,0
46,8,6,0.130645929272841,0
47,8,9,0.070203826339304,0
48,8,11,0.029415774599852,0
49,9,6,0.043500527929987,0
50,9,8,0.070203826339304,0
51,9,11,0.033315359668125,0
52,9,26,0.048727372752692,0
53,10,5,0.214667658985211,0
54,10,6,0.141475522386664,0
55,10,11,0.037497843816426,0
56,11,5,0.163927503603074,0
57,11,6,0.040208412505156,0
58,11,7,0.130972693006794,0
59,11,8,0.029415774599852,0
60,11,9,0.033315359668125,0
61,11,10,0.037497843816426,0
62,11,26,0.101649428823111,0
63,11,27,0.170919321184968,0
64,11,35,0.039738120602135,0
65,11,179,0.215814468494091,0
66,12,13,0.041188447103125,0
67,12,15,0.061838925753098,0
68,12,16,0.038640911845831,0
69,12,113,0.028744326929285,0
70,12,153,0.091653140406063,0
71,12,156,0.019447067939530,0
72,13,12,0.041188447103125,0
73,13,16,0.057360526281297,0
74,13,17,0.004751714981581,0
75,13,18,0.027305266342304,0
76,13,145,0.018705117362703,0
77,13,150,0.024929502347201,0
78,13,156,0.010982941075439,0
79,14,23,0.104674386016645,0
80,14,24,0.013423113350457,0
81,14,145,0.017823516108120,0
82,14,146,0.059408468986467,0
83,14,164,0.081393092187795,0
84,14,167,0.071221612219640,0
85,15,12,0.061838925753098,0
86,15,20,0.047909992607111,0
87,15,113,0.070421821617506,0
88,15,114,0.096760103860948,0
89,15,148,0.002765009007321,0
90,15,152,0.047337894589842,0
91,15,153,0.019374920664683,0
92,16,12,0.038640911845831,0
93,16,13,0.057360526281297,0
94,16,22,0.010539568810081,0
95,16,25,0.032435862128493,0
96,16,113,0.086065257380405,0
97,16,150,0.075962633941702,0
98,16,169,0.000000000000000,1
99,17,13,0.004751714981581,0
100,17,18,0.015492462339566,0
101,17,117,0.031865474878487,0
102,17,145,0.007224323882147,0
103,17,153,0.000000000000000,1
104,17,156,0.015209082042362,0
105,18,13,0.027305266342304,0
106,18,17,0.015492462339566,0
107,18,156,0.011248680201137,0
108,19,83,0.005521079221254,0
109,19,117,0.002303025448776,0
110,19,119,0.005502185525080,0
111,19,132,0.006980560508769,0
112,19,155,0.004514481221127,0
113,20,15,0.047909992607111,0
114,20,21,0.098159315849444,0
115,20,24,0.015971144763160,0
116,20,118,0.010230435855144,0
117,20,120,0.040146588918096,0
118,20,131,0.005457703053852,0
119,20,132,0.008811419803225,0
120,20,146,0.034790875525269,0
121,20,148,0.100989270139837,0
122,21,20,0.098159315849444,0
123,21,24,0.072888109050500,0
124,21,165,0.088909170583403,0
125,22,16,0.010539568810081,0
126,22,25,0.075033578643802,0
127,22,113,0.064229817277823,0
128,22,162,0.123912310263505,0
129,23,14,0.104674386016645,0
130,23,145,0.055703462852898,0
131,23,150,0.024495072557536,0
132,23,151,0.045313420888107,0
133,23,154,0.022466125844289,0
134,23,163,0.037274725364091,0
135,23,164,0.014124349379127,0
136,23,166,0.067450782541584,0
137,24,14,0.013423113350457,0
138,24,20,0.015971144763160,0
139,24,21,0.072888109050500,0
140,24,146,0.043690739625504,0
141,24,165,0.073887780181851,0
142,24,167,0.070829220319510,0
143,25,16,0.032435862128493,0
144,25,22,0.075033578643802,0
145,25,91,0.000000000000000,1
146,25,150,0.000000000000000,1
147,25,162,0.031166043499581,0
148,25,169,0.100590468452681,0
149,25,192,0.071090940590709,0
150,26,6,0.054446936614194,0
151,26,7,0.248371706767369,0
