Class,CompletedDate,Latitude,Longitude,Installer
Multifamily,2018-07-13,47.66503385,-122.31281902,SME INC OF SEATTLE
Single family,2013-05-16,47.63184705,-122.35441228,WEST SEATTLE ELECTRIC & SOLAR
Single family,2013-06-14,47.67632994,-122.38949855,SUNERGY SYSTEMS
Single family,2013-06-25,47.61233708,-122.28791167,A&R SOLAR
Single family,2015-11-23,47.57328068,-122.39448459,ARTISAN ELECTRIC INC
Single family,2014-12-22,47.56356936,-122.29194914,PUGET SOUND SOLAR
Single family,2015-10-13,47.53338924,-122.38365006,PUGET SOUND SOLAR
Single family,2013-12-11,47.62469708,-122.31024774,PUGET SOUND SOLAR
Single family,2013-08-20,47.68186046,-122.39369023,PUGET SOUND SOLAR
Single family,2014-02-03,47.62402081,-122.29686515,NA
Single family,2016-05-09,47.64821628,-122.36752516,SME INC OF SEATTLE
Single family,2015-07-21,47.57485996,-122.38282349,ARTISAN ELECTRIC INC
Multifamily,2014-05-23,47.58596588,-122.31626467,ARTISAN ELECTRIC INC
Single family,2013-12-30,47.63039725,-122.31156315,PUGET SOUND SOLAR
Single family,2019-01-10,47.67902415,-122.35406226,Solterra Global LLC
Single family,2014-04-24,47.5102221,-122.37892502,PUGET SOUND SOLAR
Single family,2016-11-15,47.56829961,-122.28044932,PUGET SOUND SOLAR
Single family,2008-05-13,47.68481584,-122.3301188,JOE BEATTIE ELECTRIC
Single family,2014-10-27,47.69158655,-122.36536733,NA
Single family,2015-07-07,47.65882778,-122.34104041,WESTERN SOLAR
Single family,2018-10-04,47.69833206,-122.31141926,SME INC OF SEATTLE
Single family,2009-08-24,47.54168567,-122.37817688,ARTISAN ELECTRIC INC
Single family,2015-12-01,47.64580486,-122.30606377,SME INC OF SEATTLE
Single family,2016-01-26,47.64204185,-122.37293244,ARTISAN ELECTRIC INC
Single family,2016-11-08,47.68680228,-122.33707572,NORTHWEST ELECTRIC & SOLAR
Single family,2016-02-11,47.54898792,-122.31081836,PUGET SOUND SOLAR
Single family,2018-04-18,47.62650131,-122.36162723,A&R SOLAR
Single family,2016-08-16,47.66613406,-122.27301321,PUGET SOUND SOLAR
Single family,2012-10-25,47.68080232,-122.26871378,PUGET SOUND SOLAR
Single family,2017-11-22,47.70859664,-122.27768056,SOLTERRA GLOBAL LLC
Single family,2018-01-17,47.55503251,-122.27901511,A&R SOLAR
Single family,2017-09-26,47.57494731,-122.28453244,SME INC OF SEATTLE
Single family,2014-06-19,47.56593293,-122.29701405,ARTISAN ELECTRIC INC
Single family,2011-11-14,47.67179513,-122.37285525,QUALITY ELECTRIC PLUS LLC
Single family,2013-10-02,47.65786497,-122.2761444,PUGET SOUND SOLAR
Single family,2015-06-18,47.63174865,-122.308933,EARL CHILDS
Single family,2015-07-01,47.64357316,-122.30195304,PUGET SOUND SOLAR
Single family,2010-07-09,47.69487526,-122.39669206,ARTISAN ELECTRIC INC
Single family,2014-03-11,47.62612824,-122.30509567,PUGET SOUND SOLAR
Single family,2011-11-29,47.64402364,-122.4169992,PUGET SOUND SOLAR
Single family,2014-03-26,47.62102788,-122.30441231,ARTISAN ELECTRIC INC
Single family,2014-08-04,47.66698081,-122.32481856,A&R SOLAR
Single family,2014-05-15,47.70086564,-122.35906836,ARTISAN ELECTRIC INC
Single family,2017-06-05,47.51241625,-122.25547169,SOLTERRA GLOBAL LLC
Single family,2018-08-01,47.68931651,-122.31145623,NA
Single family,2017-06-12,47.64543629,-122.31684063,SUNERGY SYSTEMS
Single family,2015-11-20,47.69122097,-122.37010537,ARTISAN ELECTRIC INC
Single family,2011-07-08,47.62751839,-122.36178681,SUNERGY SYSTEMS
Multifamily,2015-09-04,47.67562719,-122.38729929,SUNERGY SYSTEMS
Single family,2015-05-26,47.67639314,-122.28735292,PUGET SOUND SOLAR
Single family,2009-10-02,47.6464751,-122.32052831,PUGET SOUND SOLAR
Single family,2015-06-11,47.66169198,-122.36006153,SUNERGY SYSTEMS
Single family,2013-08-08,47.66759883,-122.32993456,ARTISAN ELECTRIC INC
Single family,2014-01-10,47.55589704,-122.271906,PUGET SOUND SOLAR
Single family,2017-09-08,47.67195678,-122.35232258,SOLX CORP
Single family,2010-08-30,47.64751475,-122.31680077,PUGET SOUND SOLAR
Single family,2016-10-03,47.68060734,-122.36753163,NA
Single family,2013-05-13,47.68005879,-122.39469324,SUNERGY SYSTEMS
Single family,2015-08-12,47.54193398,-122.28644753,EARL CHILDS
Single family,2013-04-17,47.65975007,-122.33658205,SUNERGY SYSTEMS
Single family,2010-09-29,47.67357878,-122.35674074,SUNERGY SYSTEMS
Single family,2017-08-17,47.67313402,-122.36046338,ARTISAN ELECTRIC INC
Single family,2015-06-23,47.70168538,-122.3408127,ARTISAN ELECTRIC INC
Single family,2018-07-03,47.55756749,-122.27911868,A&R SOLAR
Single family,2012-08-28,47.53666555,-122.37866396,ARTISAN ELECTRIC INC
Single family,2014-11-04,47.52842557,-122.35817136,SUNERGY SYSTEMS
Single family,2018-10-25,47.55608493,-122.29448422,PUGET SOUND SOLAR
Single family,2014-11-12,47.60992019,-122.29181478,ARTISAN ELECTRIC INC
Single family,2014-10-01,47.55905908,-122.29877283,PUGET SOUND SOLAR
Single family,2018-06-05,47.70377843,-122.30873086,InvestSolar LLC
Single family,2017-09-05,47.67835066,-122.39166859,SUNERGY SYSTEMS
Single family,2013-09-24,47.66089722,-122.35993378,ARTISAN ELECTRIC INC
Single family,2013-02-05,47.68784849,-122.36088135,PUGET SOUND SOLAR
Single family,2015-10-01,47.56181986,-122.31899299,PUGET SOUND SOLAR
Single family,2011-08-22,47.64481868,-122.36251125,SUNERGY SYSTEMS
Single family,2014-06-06,47.67056422,-122.33605982,SME INC OF SEATTLE
Single family,2013-04-02,47.70269767,-122.34968956,PUGET SOUND SOLAR
Single family,2014-03-25,47.63621492,-122.31450267,ARTISAN ELECTRIC INC
Single family,2016-02-03,47.56073609,-122.27793542,ARTISAN ELECTRIC INC
Single family,2014-05-30,47.65344453,-122.37265011,PUGET SOUND SOLAR
Single family,2015-06-25,47.67467745,-122.40327456,PUGET SOUND SOLAR
Single family,2010-08-02,47.56472568,-122.27233801,PUGET SOUND SOLAR
Single family,2012-06-14,47.61826509,-122.28290054,PUGET SOUND SOLAR
Single family,2015-02-24,47.54579317,-122.31978372,ARTISAN ELECTRIC INC
Single family,2013-12-02,47.673874,-122.39357976,EARL CHILDS
Single family,2014-07-01,47.5838131,-122.29006428,ARTISAN ELECTRIC INC
Single family,2013-12-24,47.57274923,-122.31113141,PUGET SOUND SOLAR
Single family,2015-09-11,47.69186568,-122.37248812,EARL CHILDS
Single family,2015-05-05,47.67116406,-122.2965686,PUGET SOUND SOLAR
Single family,2018-05-24,47.6877688,-122.30974279,SUNERGY SYSTEMS
Single family,2014-03-24,47.63929213,-122.30536343,PUGET SOUND SOLAR
Single family,2014-10-31,47.56358727,-122.29172614,PUGET SOUND SOLAR
Single family,2014-11-25,47.6192755,-122.28732418,PUGET SOUND SOLAR
Single family,2012-01-10,47.65262077,-122.40976284,PUGET SOUND SOLAR
Single family,2015-12-15,47.55959814,-122.28907273,PUGET SOUND SOLAR
Single family,2013-07-12,47.66559603,-122.33690685,ARTISAN ELECTRIC INC
Single family,2015-12-23,47.66338757,-122.36051729,SUNERGY SYSTEMS
Single family,2008-03-06,47.66651942,-122.40773834,E & F ELECTRIC INCORPORATED
Single family,2013-12-11,47.61152957,-122.305338,PUGET SOUND SOLAR
Single family,2015-08-17,47.69618766,-122.36176978,A&R SOLAR
Single family,2017-10-24,47.553746339999996,-122.27009323,A&R SOLAR
Single family,2014-06-20,47.58696774,-122.3112667,PUGET SOUND SOLAR
Single family,2014-02-10,47.62799977,-122.30075914,PUGET SOUND SOLAR
Single family,2019-07-23,47.7322091,-122.30372055,Sphere Solar Energy
Single family,2018-06-05,47.56648941,-122.40608003,ARTISAN ELECTRIC INC
Single family,2017-02-23,47.62665116,-122.3116943,WEST SEATTLE ELECTRIC & SOLAR
Single family,2013-03-11,47.65139695,-122.27675177,AEM ELECTRIC & AUDIO/VIDEO LLC
Single family,2013-06-28,47.61397638,-122.29776873,SME INC OF SEATTLE
Single family,2015-05-22,47.69858131,-122.27288823,EARL CHILDS
Single family,2013-04-04,47.67650264,-122.3652712,SUNERGY SYSTEMS
Single family,2015-09-03,47.7048855,-122.35997793,EARL CHILDS
Single family,2013-10-30,47.58342174,-122.28953059,PUGET SOUND SOLAR
Single family,2013-05-31,47.70698201,-122.37313309,ARTISAN ELECTRIC INC
Single family,2016-12-27,47.57730205,-122.39155636,EARL CHILDS
Single family,2016-12-29,47.67669026,-122.35667298,A&R SOLAR
Single family,2019-06-18,47.6692052,-122.28993166,PUGET SOUND SOLAR
Single family,2017-12-22,47.697491,-122.32097329,A&R SOLAR
Single family,2012-12-04,47.67510591,-122.35177506,A&R SOLAR
Single family,2014-07-30,47.53713128,-122.2655976,SUNERGY SYSTEMS
Single family,2017-09-12,47.63486222,-122.31930391,PRO-STAT ELECTRIC
Single family,2019-12-18,47.62213883,-122.29026925,Solterra Global LLC
Single family,2015-05-26,47.54200588,-122.35636208,PUGET SOUND SOLAR
Single family,2016-07-12,47.6500476,-122.33487244,PUGET SOUND SOLAR
Single family,2013-05-14,47.69952878,-122.35702091,EARL CHILDS
Single family,2016-09-29,47.56866743,-122.3957926,ARTISAN ELECTRIC INC
Single family,2013-11-27,47.54060717,-122.37552042,WEST SEATTLE ELECTRIC & SOLAR
Single family,2013-04-16,47.68216728,-122.38617927,ARTISAN ELECTRIC INC
Single family,2014-10-02,47.56719361,-122.38915013,PUGET SOUND SOLAR
Single family,2018-11-26,47.55961879,-122.37785209,Blossom Solar LLC
Single family,2015-01-26,47.50323603,-122.38333872,PUGET SOUND SOLAR
Single family,2017-04-26,47.54936707,-122.30822889,SOLTERRA GLOBAL LLC
Single family,2013-07-08,47.6682221,-122.35618505,ARTISAN ELECTRIC INC
Single family,2012-11-21,47.6595179,-122.33772795,PUGET SOUND SOLAR
Single family,2013-05-29,47.51579069,-122.39100154,EARL CHILDS
Single family,2013-06-06,47.65775044,-122.33479,PUGET SOUND SOLAR
Single family,2019-05-14,47.6404967,-122.37523461,NORTHWEST ELECTRIC & SOLAR
Single family,2012-07-11,47.67418032,-122.30618269,SME INC OF SEATTLE
Single family,2016-03-31,47.5030489,-122.37734219,PUGET SOUND SOLAR
Single family,2019-04-22,47.65664478,-122.27902219,Sun Path Electric LLC
Single family,2014-02-05,47.54269075,-122.27442518,PUGET SOUND SOLAR
Single family,2016-01-06,47.6789244,-122.26999869,A&R SOLAR
Single family,2014-05-13,47.62025102,-122.28441974,PUGET SOUND SOLAR
Single family,2013-03-22,47.66254665,-122.27180495,SUNERGY SYSTEMS
Multifamily,2018-03-22,47.67916422,-122.31764267,SUNERGY SYSTEMS
Single family,2009-10-09,47.51772527,-122.39326668,E & F ELECTRIC INCORPORATED
Single family,2018-12-27,47.68117805,-122.39604261,"SMART ENERGY TODAY, INC"
Single family,2016-12-05,47.72367739,-122.29510932,NORTHWEST ELECTRIC & SOLAR
Single family,2018-01-22,47.56639328,-122.3609135,"ECOTECH ENERGY SYSTEMS, LLC"
Single family,2019-12-03,47.67314446,-122.33118493,ARTISAN ELECTRIC INC
Single family,2013-06-20,47.68447907,-122.3787021,PUGET SOUND SOLAR
Single family,2016-12-22,47.52451288,-122.37989361,PUGET SOUND SOLAR
Single family,2011-08-08,47.63748998,-122.36473636,SUNERGY SYSTEMS
Single family,2014-02-13,47.6108799,-122.29415952,EARL CHILDS
Single family,2018-03-05,47.67512801,-122.27477807,A&R SOLAR
Single family,2012-01-25,47.67745685,-122.28793076,PUGET SOUND SOLAR
Multifamily,2018-10-03,47.69052876,-122.30661297,SME INC OF SEATTLE
Single family,2017-11-09,47.67051217,-122.27774751,PUGET SOUND SOLAR
Single family,2015-08-10,47.70309251,-122.35141402000001,ARTISAN ELECTRIC INC
Single family,2019-10-24,47.56070192,-122.36091735,PUGET SOUND SOLAR
Single family,2009-03-03,47.58469174,-122.38474342,PUGET SOUND SOLAR
Single family,2017-08-18,47.52382602,-122.26091602,JMS ELECTRIC LLC
Single family,2018-04-05,47.6777535,-122.28466447,A&R SOLAR
Single family,2018-02-01,47.67888531,-122.40213695,PUGET SOUND SOLAR
Single family,2012-12-18,47.67668068,-122.30250594,EARL CHILDS
Single family,2013-07-23,47.58670177,-122.39258542,SUNERGY SYSTEMS
Single family,2015-06-04,47.65737587,-122.35474834,EARL CHILDS
Single family,2015-02-11,47.52748589,-122.34645457,PUGET SOUND SOLAR
Single family,2011-12-23,47.65504635,-122.33293052,PUGET SOUND SOLAR
Single family,2013-12-23,47.62564317,-122.30145545,PUGET SOUND SOLAR
Single family,2015-08-18,47.69847185,-122.27288776,EARL CHILDS
Single family,2017-10-19,47.56902885,-122.3945281,SME INC OF SEATTLE
Single family,2014-04-04,47.67323239,-122.36105315,EARL CHILDS
Single family,2011-10-14,47.6741142,-122.30886563,PUGET SOUND SOLAR
Single family,2013-09-04,47.70473436,-122.38350719,ARTISAN ELECTRIC INC
Single family,2019-04-22,47.6272524,-122.29994275,PROSTAT ELECTRIC
Single family,2012-05-31,47.66985431,-122.27432013,SME INC OF SEATTLE
Single family,2013-07-29,47.71652183,-122.37198053,PUGET SOUND SOLAR
Single family,2015-07-31,47.60855212,-122.29073569,A&R SOLAR
Single family,2017-06-08,47.50801323,-122.37698116,A&R SOLAR
Single family,2014-11-19,47.63457523,-122.35171751,CORE ELECTRIC LLC
Single family,2013-10-16,47.68427877,-122.36701298,ARTISAN ELECTRIC INC
Single family,2016-06-07,47.69571216,-122.35240657,WEST SEATTLE ELECTRIC & SOLAR
Single family,2015-06-19,47.56729146,-122.3977842,SUNERGY SYSTEMS
Single family,2018-02-06,47.57308676,-122.28964199,A&R SOLAR
Single family,2009-01-21,47.67369061,-122.25311165,PUGET SOUND SOLAR
Single family,2014-04-17,47.65150747,-122.36986198,WESTERN SOLAR
Single family,2014-07-31,47.62655517,-122.28268829,ARTISAN ELECTRIC INC
Single family,2006-05-18,47.67832341,-122.27398268,E & F ELECTRIC INCORPORATED
Single family,2019-01-22,47.69519262,-122.36285767,NORTHWEST ELECTRIC & SOLAR
Single family,2018-09-27,47.58801142,-122.2871401,NORTHWEST ELECTRIC & SOLAR
Single family,2014-12-04,47.54685867,-122.26965861,SME INC OF SEATTLE
Single family,2015-02-27,47.65992374,-122.32703331,ARTISAN ELECTRIC INC
Single family,2017-09-22,47.57688389,-122.40370843,PUGET SOUND SOLAR
Single family,2015-01-28,47.58598776,-122.38342586,PUGET SOUND SOLAR
Single family,2015-04-21,47.66793181,-122.30914019,"SMART ENERGY TODAY, INC"
Single family,2018-10-12,47.70357523,-122.27859589,SUNERGY SYSTEMS
Single family,2017-11-30,47.71499279,-122.31557436,SUNERGY SYSTEMS
