City,Zip Code,Lat,Long,Year,Month,kW
Arlington,05250,43.0426,-73.14582,2018,6,7.68
Arlington,05250,43.09928,-73.14098,2019,8,7.83
Arlington,05250,43.11272,-73.20433,2019,5,7.83
Arlington,05250,43.10421,-73.2093,2016,3,8.2
Arlington,05250,43.04687,-73.17981,2017,6,9
Arlington,05250,43.10796867,-73.205242,2019,8,9.73
Arlington,05250,43.08104,-73.13749,2015,1,10
Arlington,05250,43.06801,-73.1532,2017,5,10.25
Arlington,05250,43.06837067,-73.14728983,2016,8,11.4
Arlington,05252,43.06728,-73.1388,2016,10,5
Arlington,05252,43.06447,-73.1395,2016,11,7.8
Athens,05141,43.09603,-72.57512,2007,11,2.26
Athens,05143,43.12608183,-72.56906067,2013,12,10.94
Athens,05146,43.11958783,-72.61696767,2015,7,10
Bakersfield,05441,44.78678,-72.8025,2016,7,3.6
Bakersfield,05441,44.7852025,-72.80092683,2019,3,5
Bakersfield,05441,44.78644,-72.80234,2016,7,5
Bakersfield,05441,44.7646,-72.77745,2011,10,5.02
Bakersfield,05441,44.78395,-72.80072,2014,8,6
Bakersfield,05441,44.7784,-72.79853,2015,6,7
Bakersfield,05441,44.78099124,-72.80189001,2018,7,7.6
Bakersfield,05441,44.78633017,-72.8008185,2016,3,7.6
Bakersfield,05441,44.78192,-72.81106,2016,11,9.2
Bakersfield,05441,44.77814,-72.78423,2017,9,10.4
Bakersfield,05441,44.781365,-72.81271833,2019,7,11.4
Bakersfield,05448,44.79053,-72.8218,2019,3,9
Bakersfield,05450,44.81542,-72.7905,2017,9,5
Baltimore,05143,43.35381233,-72.57946883,2015,12,10
Baltimore,05143,43.349850000000004,-72.55469,2019,5,11.4
Barnard,05031,43.74383,-72.61277,2008,10,0.97
Barnard,05031,43.75586,-72.58966,2010,10,2.62
Barnard,05031,43.68299,-72.60801,2018,3,3
Barnard,05031,43.68294,-72.60606,2017,3,3
Barnard,05031,43.67536,-72.61621,2018,6,3.8
Barnard,05031,43.7337,-72.61948,2016,6,3.8
Barnard,05031,43.69487,-72.59724,2013,4,4.47
Barnard,05031,43.73764,-72.57660333,2015,10,4.5
Barnard,05031,43.71856,-72.59787,2019,1,4.6
Barnard,05031,43.72827,-72.6175,2013,10,5.59
Barnard,05031,43.67633,-72.58563,2015,6,6
Barnard,05031,43.72452,-72.62112,2014,7,6
Barnard,05031,43.74589,-72.6162,2013,7,6.4
Barnard,05031,43.77438,-72.60646,2019,6,7.6
Barnard,05031,43.78238,-72.63702,2018,10,7.6
Barnard,05031,43.73702,-72.61532,2016,12,7.6
Barnard,05031,43.72489,-72.62032,2018,6,10.4
Barnard,05031,43.72208,-72.62161,2016,4,11.4
Barnard,05031,43.77099,-72.6144,2012,1,11.4
Barnard,05032,43.74554633,-72.5441305,2016,9,3.8
Barnard,05032,43.76426,-72.59298,2018,7,7.6
Barnard,05032,43.7838,-72.63105,2015,9,20
Barnard,05067,43.69984833,-72.57615,2013,4,11.2
Barnard,05068,43.73927,-72.55177,2008,10,1.44
Barnard,05068,43.71422917,-72.56891567,2016,8,5
Barnard,05301,43.71913,-72.56726,2016,10,3.8
Barnet,05042,44.289365,-72.13351167,2017,11,6
Barnet,05050,44.26337,-72.06498,2018,3,9.8
Barnet,05821,44.31308,-72.16683,2010,7,2.02
Barnet,05821,44.31679,-72.08584,2017,4,3
Barnet,05821,44.29082,-72.05526,2015,10,3.1
Barnet,05821,44.30070733,-72.14758333,2018,6,3.8
Barnet,05821,44.31398,-72.167,2017,9,3.8
Barnet,05821,44.31096,-72.11767,2016,10,3.8
Barnet,05821,44.31204,-72.12938,2016,1,3.8
Barnet,05821,44.34774183,-72.067335,2015,5,3.8
Barnet,05821,44.28326,-72.13996,2018,9,5
Barnet,05821,44.2983,-72.0468,2018,1,5
Barnet,05821,44.30656617,-72.14724317,2017,9,5
Barnet,05821,44.28228517,-72.14043,2017,7,5
Barnet,05821,44.31447133,-72.1334415,2015,7,5
Barnet,05821,44.33303867,-72.1385875,2015,5,5
Barnet,05821,44.3132,-72.11086,2018,10,5.61
Barnet,05821,44.2967195,-72.14869933,2017,3,6
Barnet,05821,44.33300183,-72.11965233,2015,12,7.5
Barnet,05821,44.31346,-72.13901,2016,5,7.6
Barnet,05821,44.29697,-72.11036,2015,7,9.75
Barnet,05821,44.29799333,-72.14989833,2018,7,10
Barnet,05862,44.35051,-72.12565,2009,5,4.56
Barre City,05461,44.192539,-72.480884,2017,4,3.6
Barre City,05461,44.18958,-72.48079,2009,7,4.04
Barre City,05461,44.18302,-72.47241,2016,11,12
Barre City,05602,44.25468,-72.57163,2015,11,7.6
Barre City,05641,44.19159,-72.49443,2009,2,0.84
Barre City,05641,44.20646,-72.50471,2013,2,1.14
Barre City,05641,44.19234,-72.47356,2013,11,2.76
Barre City,05641,44.19128,-72.4909,2017,11,3
Barre City,05641,44.16889,-72.48294,2017,4,3
Barre City,05641,44.199418,-72.48901,2016,11,3
Barre City,05641,44.22556,-72.45835,2016,10,3
Barre City,05641,44.19108,-72.48941,2016,9,3
Barre City,05641,44.219148,-72.536896,2016,9,3
Barre City,05641,44.20223,-72.505086,2016,9,3
Barre City,05641,44.196141,-72.490981,2016,9,3
Barre City,05641,44.19919,-72.48954,2016,9,3
Barre City,05641,44.20152,-72.48996,2016,8,3
Barre City,05641,44.1935,-72.519,2016,7,3
Barre City,05641,44.19313,-72.51809,2016,3,3
Barre City,05641,44.196651,-72.521087,2016,3,3
Barre City,05641,44.22489779,-72.52200234,2018,11,3
Barre City,05641,44.193806,-72.508827,2013,8,3.11
