"","GEOID","City","Unit","Area","PopDensity","HomeOwn","SingleFamily","Edu","HomeValue","Income","White","Wealth","Gini"
"1","5000100325","Addison",525,126327994.037694,1.0710215184738e-05,0.864761904761905,0.787465940054496,0.417372881355932,270000,87321,0.985218033998522,0.953333333333333,0.3123
"2","5000108575","Bridport",523,119653172.276046,1.03716431114501e-05,0.768642447418738,0.719626168224299,0.297606659729448,267400,62868,0.95245769540693,0.849148418491484,0.4097
"3","5000109025","Bristol",1613,109157887.593874,3.56914198861671e-05,0.74767513949163,0.664646464646465,0.340317919075145,233500,63641,0.955595482546201,0.862960062646828,0.3829
"4","5000116000","Cornwall",470,73961409.2360763,1.38991402491905e-05,0.768085106382979,0.804347826086957,0.61433868974042,361500,84688,0.925097276264591,0.944552529182879,0.4107
"5","5000126300","Ferrisburgh",1128,158007220.357617,1.72460473251319e-05,0.817375886524823,0.786684782608696,0.452404317958783,292600,81071,0.974311926605505,0.914862385321101,0.4232
"6","5000128600","Goshen",81,53904885.0685164,3.04239587546743e-06,0.950617283950617,0.833333333333333,0.410596026490066,242500,76875,0.829268292682927,0.920731707317073,0.2859
"7","5000129575","Granville",130,133110622.287333,2.47914099062404e-06,0.723076923076923,0.747126436781609,0.315126050420168,196900,70000,0.984848484848485,0.724242424242424,0.4654
"8","5000131525","Hancock",150,98541491.9164469,3.41987921479554e-06,0.773333333333333,0.731958762886598,0.276679841897233,156800,53750,0.905044510385757,0.821958456973294,0.3187
"9","5000139325","Leicester",473,56297237.6830919,2.08180729327683e-05,0.913319238900634,0.667597765363129,0.286031042128603,214100,61625,0.984641638225256,0.889177489177489,0.3973
"10","5000140075","Lincoln",574,115420341.094624,1.20602658664716e-05,0.820557491289199,0.706329113924051,0.450803212851406,269300,62396,0.966954022988506,0.87536231884058,0.3584
"11","5000144350","Middlebury",2860,101402231.181164,8.54123217912861e-05,0.602797202797203,0.669074195666448,0.465904186447993,249800,58953,0.85879228726475,0.83679727427598,0.4295
"12","5000145550","Monkton",777,93581382.7946546,2.03672989549891e-05,0.799227799227799,0.774859287054409,0.400556328233658,265100,92642,0.969045120671563,0.922628510863805,0.348
"13","5000148700","New Haven",712,106980978.927815,1.66291243343396e-05,0.823033707865168,0.722,0.324865280985373,266000,76923,0.968521641371557,0.928008998875141,0.4015
"14","5000153725","Orwell",511,128185035.639298,9.43167815159036e-06,0.927592954990215,0.795081967213115,0.338372093023256,214300,60375,0.962779156327543,0.810587262200165,0.3479
"15","5000153950","Panton",265,56793552.0030148,1.16034299098781e-05,0.788679245283019,0.774358974358974,0.371002132196162,269400,71042,0.981790591805766,0.893455098934551,0.4232
"16","5000159650","Ripton",273,128723411.341793,4.07074357755055e-06,0.813186813186813,0.687943262411348,0.521197007481297,239200,70893,0.961832061068702,0.784351145038168,0.4157
"17","5000162575","Salisbury",434,77595351.1434134,1.48720249730831e-05,0.813364055299539,0.837037037037037,0.347560975609756,248500,74412,0.967071057192374,0.878895814781834,0.3939
"18","5000165050","Shoreham",507,119927988.871756,9.33059922481143e-06,0.7534516765286,0.711920529801324,0.315483119906868,236000,58894,0.909740840035746,0.853440571939232,0.4641
"19","5000170075","Starksboro",751,118686392.168902,1.66236412106304e-05,0.893475366178429,0.650190114068441,0.440320232896652,233000,72578,0.963000506842372,0.833078101071976,0.3535
"20","5000174650","Vergennes",1127,6601445.51422319,0.000393247205389603,0.619343389529725,0.651810584958217,0.257289002557545,216000,63920,0.978043143297381,0.808966861598441,0.3895
"21","5000176075","Waltham",194,23455162.3299981,1.9995598128953e-05,0.907216494845361,0.807142857142857,0.444444444444444,240900,79286,0.987206823027719,0.886993603411514,0.4327
"22","5000183275","Weybridge",358,45523638.2884206,1.81004864940593e-05,0.860335195530726,0.837735849056604,0.615262321144674,352300,89286,0.955097087378641,0.933252427184466,0.4526
"23","5000183800","Whiting",148,35368817.280652,1.04894658211529e-05,0.844594594594595,0.666666666666667,0.270992366412214,197900,54583,0.994609164420485,0.708894878706199,0.4154
"24","5000301450","Arlington",1057,109575872.71315,2.4293669163545e-05,0.783349101229896,0.7,0.335681932561651,243700,60493,0.963185574755823,0.848153730218538,0.4231
"25","5000304825","Bennington",5975,109894937.288878,0.00013737666513531,0.614728033472803,0.553827751196172,0.318097831372168,164600,50892,0.937802212360072,0.741783013379872,0.4615
"26","5000317725","Dorset",794,124012413.443369,1.35067123805707e-05,0.836272040302267,0.819512195121951,0.520265291083272,336500,49722,0.998208955223881,0.855522388059701,0.5074
"27","5000339025","Landgrove",43,23749597.5647167,4.71586938240973e-06,0.930232558139535,0.842105263157895,0.704545454545455,576900,95250,0.866071428571429,0.892857142857143,0.4458
"28","5000342850","Manchester",1982,109215422.708691,3.89413866148189e-05,0.663975782038345,0.70414201183432,0.451910828025478,311500,67500,0.961674112391253,0.858122487585718,0.55
"29","5000355000","Peru",135,96341978.6712622,2.92707295292574e-06,0.881481481481482,0.740740740740741,0.371428571428571,322700,52750,0.960992907801418,0.812056737588652,0.4967
"30","5000357025","Pownal",1263,120858162.74303,2.83555526761276e-05,0.949326999208234,0.66230677764566,0.302021903959562,161500,63773,0.998832798365918,0.67872775021885,0.4588
"31","5000358600","Readsboro",274,94405714.3945511,6.45088068985737e-06,0.799270072992701,0.731543624161074,0.204845814977974,148300,57500,0.983579638752053,0.734660033167496,0.4158
"32","5000361000","Rupert",277,114999763.112067,5.60870720552224e-06,0.779783393501805,0.859550561797753,0.427672955974843,276800,55795,0.996899224806202,0.767441860465116,0.4067
